Área;Tratamentos;ANTHOPHRORIDAE sp1;APOIDEA sp1;APOIDEA sp2;APOIDEA sp3;APOIDEA sp4;APOIDEA sp5;APOIDEA sp6;APOIDEA sp7;APOIDEA sp8;APHELINIDAE sp1;APHELINIDAE sp2;APHELINIDAE sp3;APHELINIDAE sp4;APHELINIDAE sp5;APHELINIDAE sp6;BETHYLIDAE sp1;BETHYLIDAE sp2;BETHYLIDAE sp3;BETHYLIDAE sp4;BETHYLIDAE sp5;BETHYLIDAE sp6;BETHYLIDAE sp7;BETHYLIDAE sp8;BRACONIDAE sp1;BRACONIDAE sp2;BRACONIDAE sp3;BRACONIDAE sp4;BRACONIDAE sp5;BRACONIDAE sp6;BRACONIDAE sp7;BRACONIDAE sp8;BRACONIDAE sp9;BRACONIDAE sp10;BRACONIDAE sp11;BRACONIDAE sp12;BRACONIDAE sp13;BRACONIDAE sp14;BRACONIDAE sp15;BRACONIDAE sp16;BRACONIDAE sp17;BRACONIDAE sp18;BRACONIDAE sp19;BRACONIDAE sp20;BRACONIDAE sp21;BRACONIDAE sp22;BRACONIDAE sp23;BRACONIDAE sp24;BRACONIDAE sp25;BRACONIDAE sp26;BRACONIDAE sp27;BRACONIDAE sp28;BRACONIDAE sp29;BRACONIDAE sp30;BRACONIDAE sp31;BRACONIDAE sp32;BRACONIDAE sp33;BRACONIDAE sp34;BRACONIDAE sp35;BRACONIDAE sp36;CHALCIDIDAE sp1;CHALCIDIDAE sp2;CHALCIDIDAE sp3;CHALCIDIDAE sp4;CERAPHRONIDAE sp1;CERAPHRONIDAE sp2;CERAPHRONIDAE sp3;CERAPHRONIDAE sp4;CERAPHRONIDAE sp5;CERAPHRONIDAE sp6;CERAPHRONIDAE sp7;CERAPHRONIDAE sp8;CERAPHRONIDAE sp9;CERAPHRONIDAE sp10;CERAPHRONIDAE sp11;CERAPHRONIDAE sp12;CERAPHRONIDAE sp13;CERAPHRONIDAE sp14;CERAPHRONIDAE sp15;CRYSIDIDAE sp1;CRYSIDIDAE sp2;CRYSIDIDAE sp3;CRYSIDIDAE sp4;DIAPRIIDAE sp1;DIAPRIIDAE sp2;DIAPRIIDAE sp3;DIAPRIIDAE sp4;DIAPRIIDAE sp5;DIAPRIIDAE sp6;DIAPRIIDAE sp7;DIAPRIIDAE sp8;DIAPRIIDAE sp9;DIAPRIIDAE sp10;DIAPRIIDAE sp11;DIAPRIIDAE sp12;DIAPRIIDAE sp13;DIAPRIIDAE sp14;DIAPRIIDAE sp15;DIAPRIIDAE sp16;DIAPRIIDAE sp17;DIAPRIIDAE sp18;DIAPRIIDAE sp19;DIAPRIIDAE sp20;DIAPRIIDAE sp21;DIAPRIIDAE sp22;DIAPRIIDAE sp23;DIAPRIIDAE sp24;DIAPRIIDAE sp25;DIAPRIIDAE sp26;DRYNIDAE sp1;DRYNIDAE sp2;DOLICHOPODIDAE sp1;ENCYRTIDAE sp1;ENCYRTIDAE sp2;ENCYRTIDAE sp3;ENCYRTIDAE sp4;ENCYRTIDAE sp5;ENCYRTIDAE sp6;ENCYRTIDAE sp7;ENCYRTIDAE sp8;ENCYRTIDAE sp9;ENCYRTIDAE sp10;ENCYRTIDAE sp11;ENCYRTIDAE sp12;ENCYRTIDAE sp13;ENCYRTIDAE sp14;ENCYRTIDAE sp15;ENCYRTIDAE sp16;ENCYRTIDAE sp17;ENCYRTIDAE sp18;ENCYRTIDAE sp19;ENCYRTIDAE sp20;ENCYRTIDAE sp21;ENCYRTIDAE sp22;ENCYRTIDAE sp23;ENCYRTIDAE sp24;ENCYRTIDAE sp25;ENCYRTIDAE sp26;ENCYRTIDAE sp27;ENCYRTIDAE sp28;EULOPHIDAE sp1;EULOPHIDAE sp2;EULOPHIDAE sp3;EULOPHIDAE sp4;EULOPHIDAE sp5;EULOPHIDAE sp6;EULOPHIDAE sp7;EULOPHIDAE sp8;EULOPHIDAE sp9;EULOPHIDAE sp10;EULOPHIDAE sp11;EULOPHIDAE sp12;EULOPHIDAE sp13;EULOPHIDAE sp14;EULOPHIDAE sp15;EULOPHIDAE sp16;EULOPHIDAE sp17;EULOPHIDAE sp18;EULOPHIDAE sp19;EULOPHIDAE sp20;EUPELMIDAE sp1;EUPELMIDAE sp2;EUPELMIDAE sp3;EUPELMIDAE sp4;EUPELMIDAE sp5;EUPELMIDAE sp6;EUPELMIDAE sp7;EUPELMIDAE sp8;EUCHARITIDAE sp1;EUCHARITIDAE sp2;EUCHARITIDAE sp3;EUCHARITIDAE sp4;EUCHARITIDAE sp5;EVANIIDAE sp1;EVANIIDAE sp2;EVANIIDAE sp3;EVANIIDAE sp4;EVANIIDAE sp5;EVANIIDAE sp6;FIGITIDAE sp1;FIGITIDAE sp2;FIGITIDAE sp3;FIGITIDAE sp4;FIGITIDAE sp5;FORMICIDAE sp1;FORMICIDAE sp2;HALICTIDAE sp1;HALICTIDAE sp2;HALICTIDAE sp3;HALICTIDAE sp4;ICHNEUMONIDAE sp1;ICHNEUMONIDAE sp2;ICHNEUMONIDAE sp3;ICHNEUMONIDAE sp4;ICHNEUMONIDAE sp5;ICHNEUMONIDAE sp6;ICHNEUMONIDAE sp7;ICHNEUMONIDAE sp8;ICHNEUMONIDAE sp9;ICHNEUMONIDAE sp10;ICHNEUMONIDAE sp11;ICHNEUMONIDAE sp12;ICHNEUMONIDAE sp13;ICHNEUMONIDAE sp14;ICHNEUMONIDAE sp15;ICHNEUMONIDAE sp16;ICHNEUMONIDAE sp17;ICHNEUMONIDAE sp18;ICHNEUMONIDAE sp19;ICHNEUMONIDAE sp20;ICHNEUMONIDAE sp21;ICHNEUMONIDAE sp22;ICHNEUMONIDAE sp23;ICHNEUMONIDAE sp24;ICHNEUMONIDAE sp25;ICHNEUMONIDAE sp26;ICHNEUMONIDAE sp27;ICHNEUMONIDAE sp28;ICHNEUMONIDAE sp29;ICHNEUMONIDAE sp30;ICHNEUMONIDAE sp31;ICHNEUMONIDAE sp32;ICHNEUMONIDAE sp33;ICHNEUMONIDAE sp34;ICHNEUMONIDAE sp35;ICHNEUMONIDAE sp36;ICHNEUMONIDAE sp37;ICHNEUMONIDAE sp38;ICHNEUMONIDAE sp39;ICHNEUMONIDAE sp40;ICHNEUMONIDAE sp41;ICHNEUMONIDAE sp42;ICHNEUMONIDAE sp43;ICHNEUMONIDAE sp44;ICHNEUMONIDAE sp45;ICHNEUMONIDAE sp46;ICHNEUMONIDAE sp47;MEGASPILIDAE sp1;MEGASPILIDAE sp2;MONOMACHIDAE sp1;MYMARIDAE sp1;MYMARIDAE sp2;MYMARIDAE sp3;MYMARIDAE sp4;MYMARIDAE sp5;MYMARIDAE sp6;MYMARIDAE sp7;MYMARIDAE sp8;MYMARIDAE sp9;MYMARIDAE sp10;MYMARIDAE sp11;MYMARIDAE sp12;MYMARIDAE sp13;MYMARIDAE sp14;MYMARIDAE sp15;PELECINIDAE sp1;PERILAMPIDAE sp1;PLATYGASTRIDAE sp1;PLATYGASTRIDAE sp2;PLATYGASTRIDAE sp3;PLATYGASTRIDAE sp4;PLATYGASTRIDAE sp5;PLATYGASTRIDAE sp6;PLATYGASTRIDAE sp7;PLATYGASTRIDAE sp8;PLATYGASTRIDAE sp9;PLATYGASTRIDAE sp10;PLATYGASTRIDAE sp11;PLATYGASTRIDAE sp12;PLATYGASTRIDAE sp13;POMPILLIDAE sp1;POMPILLIDAE sp2;POMPILLIDAE sp3;POMPILLIDAE sp4;POMPILLIDAE sp5;POMPILLIDAE sp6;POMPILLIDAE sp7;POMPILLIDAE sp8;POMPILLIDAE sp9;POMPILLIDAE sp10;POMPILLIDAE sp11;PROCTOTRUPIDAE sp1;PROCTOTRUPIDAE sp2;PROCTOTRUPIDAE sp3;PROCTOTRUPIDAE sp4;PROCTOTRUPIDAE sp5;PROCTOTRUPIDAE sp6;PROCTOTRUPIDAE sp7;PTEROMALIDAE sp1;PTEROMALIDAE sp2;PTEROMALIDAE sp3;PTEROMALIDAE sp4;PTEROMALIDAE sp5;PTEROMALIDAE sp6;PTEROMALIDAE sp7;PTEROMALIDAE sp8;PTEROMALIDAE sp9;PTEROMALIDAE sp10;PTEROMALIDAE sp11;PTEROMALIDAE sp12;PTEROMALIDAE sp13;PTEROMALIDAE sp14;PTEROMALIDAE sp15;PTEROMALIDAE sp16;PTEROMALIDAE sp17;SCELIONIDAE sp1;SCELIONIDAE sp2;SCELIONIDAE sp3;SCELIONIDAE sp4;SCELIONIDAE sp5;SCELIONIDAE sp6;SCELIONIDAE sp7;SCELIONIDAE sp8;SCELIONIDAE sp9;SCELIONIDAE sp10;SCELIONIDAE sp11;SCELIONIDAE sp12;SCELIONIDAE sp13;SCELIONIDAE sp14;SCELIONIDAE sp15;SCELIONIDAE sp16;SCELIONIDAE sp17;SCELIONIDAE sp18;SCELIONIDAE sp19;SCELIONIDAE sp20;SCELIONIDAE sp21;SCELIONIDAE sp22;SCELIONIDAE sp23;SCELIONIDAE sp24;SIGNIPHORIDAE sp 1;SIGNIPHORIDAE sp 2;SIGNIPHORIDAE sp 3;SIGNIPHORIDAE sp 4;SIRICIDAE sp1;SPHECIDAE sp1;STEPHANIDAE sp1;STEPHANIDAE sp2;TANAOSTIGMATIDAE sp1;TORYMIDAE sp1;TRICHOGRAMMATIDAE sp1;TRICHOGRAMMATIDAE sp2;TRICHOGRAMMATIDAE sp3;TRICHOGRAMMATIDAE sp4;TRICHOGRAMMATIDAE sp5;TRICHOGRAMMATIDAE sp6;TRICHOGRAMMATIDAE sp7;VESPIDAE sp1;VESPIDAE sp2;VESPIDAE sp3;VESPIDAE sp4;VESPIDAE sp5;VESPIDAE sp6;VESPIDAE sp7;VESPIDAE sp8;VESPIDAE sp9;VESPIDAE sp10;VESPIDAE sp11;VESPIDAE sp12;VESPIDAE sp13;VESPIDAE sp14;VESPIDAE sp15;VESPIDAE sp16;VESPIDAE sp17;VESPIDAE sp18
T1R1;T1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1R2;T1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;3;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;1
T1R3;T1;;;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
T1R4;T1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;1;3;;1;;;;;;;;;;;;;;;6;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
T1R5;T1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;
T1R6;T1;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
T1R7;T1;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
